No;Y;X1;X2;X3;X4;X5
1;0;0;1;0;2.52;7
2;0;1;0;0;2.05;6
3;0;1;0;0;3.75;6
4;0;0;1;1;1.18;3
5;0;1;0;0;3.75;26
6;0;1;1;2;3.59;2
7;0;1;0;0;3.19;3
8;0;0;1;2;2.96;4
9;0;0;0;0;4.62;6
10;0;1;1;0;1.25;0
11;0;0;0;0;2.96;14
12;0;1;0;0;0.755;13
13;0;1;1;1;3.69;3
14;0;1;1;0;3.4;4
15;0;1;1;0;1.79;0
16;0;1;0;0;3.09;1
17;0;1;1;0;2;7
18;0;0;1;2;4.29;13
19;0;1;0;0;3.36;7
20;0;1;0;0;4.29;9
21;0;1;1;0;2.26;6
22;0;0;1;3;2.96;3
23;0;0;1;1;4.29;5
24;0;0;1;1;2.86;4
25;0;0;1;3;2.76;1
26;0;1;1;0;1.52;3
27;0;1;1;1;3.54;8
28;0;0;1;1;4.29;3
29;0;1;0;0;3.09;0
30;0;0;1;0;2.32;3
31;0;1;0;0;2.39;0
32;0;0;1;0;4.29;8
33;0;1;0;0;1.505;13
34;0;0;0;0;2.1;0
35;0;0;1;1;1.52;0
36;0;1;0;0;2;0
37;0;1;0;0;1.75;0
38;0;0;0;0;4.29;9
39;0;0;1;1;1.22;2
40;0;1;1;0;3.75;5
41;0;0;0;0;4.29;9
42;0;1;1;1;2.86;3
43;0;0;0;0;3.92;5
44;0;1;1;1;3.36;3
45;0;0;0;0;2.1;6
46;0;0;1;1;1.18;0
47;0;0;1;0;2.5;1
48;0;0;1;0;3.36;25
49;0;1;0;0;4.54;14
50;0;1;1;0;3.92;8
51;0;0;0;0;4.54;5
52;0;1;1;2;1.97;0
53;0;0;1;2;2.96;12
54;0;0;1;0;4.29;8
55;0;0;1;1;2.26;2
56;0;1;0;0;2.12;11
57;0;1;0;0;3.21;2
58;0;0;1;1;3.15;1
59;0;0;1;1;3.92;1
60;0;0;0;0;2.96;0
61;0;1;0;0;2.86;6
62;0;0;1;1;2.1;0
63;0;1;0;0;3.75;4
64;0;1;1;0;3.54;2
65;0;1;1;0;2.54;1
66;0;0;1;1;2.76;3
67;0;0;1;0;4.54;10
68;0;0;1;0;1.68;6
69;0;0;1;1;2.2;0
70;0;1;0;0;1.005;0
71;0;0;0;0;2.12;2
72;0;1;1;2;2.58;0
73;0;1;1;0;1.79;1
74;0;0;0;0;4.29;2
75;0;1;1;0;1.28;4
76;0;0;1;2;2.58;5
77;0;0;1;2;2.12;0
78;0;0;1;1;2.21;1
79;0;0;1;1;2.26;5
80;0;1;0;0;3.21;5
81;0;1;0;0;2.1;2
82;0;1;1;1;3.54;1
83;0;0;1;1;3.4;18
84;0;0;1;0;2.21;6
85;0;0;1;0;2.21;19
86;0;0;1;2;0.92;1
87;0;1;0;0;4.29;35
88;0;0;1;2;3.15;6
89;0;0;1;0;4.29;19
90;0;0;1;1;2.51;8
91;0;0;1;1;4.29;1
92;0;1;1;0;2.76;0
93;0;0;1;0;1.42;3
94;0;0;1;0;2.21;19
95;0;0;0;0;4.14;5
96;0;0;1;0;1.52;7
97;0;0;0;0;4.62;8
98;0;1;0;0;3.62;7
99;0;1;1;2;3.75;4
100;0;0;1;0;4.29;8
101;0;1;0;0;3.75;5
102;0;0;1;1;2.1;0
103;0;0;1;2;1.4;7
104;0;1;1;0;3.19;4
105;0;0;1;2;1.81;1
106;0;0;1;1;3.15;2
107;0;1;1;0;3.75;7
108;0;1;0;0;2.05;6
109;0;0;1;3;2.21;3
110;0;1;1;2;3.36;2
111;0;1;1;0;3.47;11
112;0;1;0;0;2.12;0
113;0;1;1;1;3.36;2
114;0;0;1;0;2.54;5
115;0;0;1;2;2.15;4
116;0;0;1;1;4.54;3
117;0;0;1;0;1.68;4
118;0;1;1;1;2.55;0
119;0;1;0;0;2.12;11
120;0;0;1;1;3.47;2
121;0;1;1;0;3.47;1
122;0;1;0;0;3.36;9
123;0;0;1;1;2.12;10
124;0;1;0;0;2.1;1
125;0;1;0;0;4.29;1
126;0;0;1;1;2.86;13
127;0;1;1;1;4.29;9
128;0;0;1;0;3.21;2
129;0;0;0;0;2.1;0
130;0;1;1;0;1.81;5
131;0;1;0;0;2.52;2
132;0;0;1;1;3.36;23
133;0;1;1;0;4.54;4
134;0;1;1;1;4.29;4
135;0;1;0;0;2.12;9
136;0;0;1;2;4.62;30
137;0;1;1;1;3.59;14
138;0;1;0;0;3.59;4
139;0;0;1;3;2.86;1
140;0;1;0;0;1.505;3
141;0;1;1;1;2.5;0
142;0;1;1;0;4.62;0
143;0;0;0;0;2.5;0
144;0;1;1;1;3.36;3
145;0;1;0;0;2;2
146;0;1;1;2;3.41;5
147;0;0;1;0;2.1;0
148;0;1;0;0;2;2
149;0;0;1;0;3.36;2
150;0;0;1;3;3.59;7
151;0;0;0;0;2.14;2
152;0;1;1;0;3.59;12
153;0;1;0;0;2.39;10
154;0;0;1;3;4.54;11
155;0;0;0;0;2.96;2
156;0;0;1;1;2.21;5
157;0;0;1;2;3.69;5
158;0;1;1;0;1.78;1
159;0;1;0;0;2.86;11
160;0;0;1;0;2.86;8
161;0;1;1;0;2.58;3
162;0;1;0;0;3.75;1
163;0;1;1;1;1.22;11
164;0;1;0;0;2.1;9
165;0;1;0;0;3.59;18
166;0;1;0;0;3.54;5
167;0;1;0;0;2.86;16
168;0;1;1;0;1.86;6
169;0;0;1;0;2.96;0
170;0;1;1;0;3.69;7
171;0;1;1;0;3.69;2
172;0;1;1;0;4.29;1
173;0;1;0;0;2.52;1
174;0;1;0;0;1.76;10
175;0;0;1;2;2.32;2
176;0;1;0;0;3.69;2
177;0;1;0;0;3.75;14
178;0;1;0;0;4.29;5
179;0;1;1;2;4.54;6
180;0;0;1;1;2.1;0
181;0;1;1;1;2.54;0
182;0;0;1;1;2.21;19
183;0;0;0;0;4.54;8
184;0;0;1;1;2.1;12
185;0;0;0;0;2.26;5
186;0;1;1;1;4.62;15
187;0;1;0;0;2.76;4
188;0;1;0;0;4.29;12
189;0;1;0;0;0.755;0
190;0;1;1;0;1.83;2
191;0;1;0;0;1.79;0
192;0;1;1;1;4.29;6
193;0;1;0;0;2.5;0
194;0;0;1;0;2.14;1
195;0;0;1;2;3.4;13
196;0;1;0;0;2.87;15
197;0;1;1;0;2.96;0
198;0;1;1;2;3.19;0
199;0;0;1;1;3.69;16
200;0;1;1;2;1.255;0
201;0;0;1;2;4.14;12
202;0;0;1;1;2.39;5
203;0;0;1;2;3.92;2
204;0;1;0;0;2.96;4
205;0;1;1;0;2.12;2
206;0;1;1;2;2.12;1
207;0;1;1;0;2.61;3
208;0;0;0;0;4.29;0
209;0;0;1;3;2.86;7
210;0;1;1;0;2.39;0
211;0;0;1;2;3.34;1
212;0;1;0;0;3.62;8
213;0;1;1;1;3.59;8
214;0;0;1;2;4.54;1
215;0;1;1;0;3.59;1
216;0;0;0;0;4.29;9
217;0;0;1;0;1.52;4
218;0;0;1;0;4.29;6
219;0;1;1;0;4.62;5
220;0;0;1;1;4.29;13
221;0;0;1;0;2.51;3
222;0;0;0;0;2.86;3
223;0;1;1;0;2.96;8
224;0;1;1;0;3.69;3
225;0;1;1;0;3.47;2
226;0;0;1;2;4.29;15
227;0;0;0;0;4.29;0
228;0;1;0;0;3.92;1
229;0;1;1;0;2;6
230;0;0;1;0;2.32;4
231;0;1;1;1;2;9
232;0;0;1;1;1.68;27
233;0;0;0;0;3.47;0
234;0;0;1;0;2.2;2
235;0;0;1;1;2.12;10
236;0;1;0;0;1.4;14
237;0;1;0;0;3.36;3
238;0;0;1;2;4.29;24
239;0;0;1;1;2.1;0
240;0;0;0;0;4.29;5
241;0;1;0;0;4.29;0
242;0;1;0;0;2.83;1
243;0;0;1;1;2.58;6
244;0;1;1;0;3.15;7
245;0;0;0;0;4.29;2
246;0;0;0;0;2.96;0
247;0;0;1;2;3.59;5
248;0;1;0;0;2.39;15
249;0;1;0;0;1.25;2
250;0;1;0;0;2.76;1
251;0;0;1;0;3.4;13
252;0;0;0;0;4.29;7
253;0;1;0;0;3.69;4
254;0;1;1;0;2.86;13
255;0;1;0;0;4.29;3
256;0;1;0;0;4.14;2
257;0;1;1;0;2.39;2
258;0;0;1;2;2.86;11
259;0;1;1;0;2.96;7
260;0;0;0;0;3.59;8
261;0;0;1;1;1.81;5
262;0;0;1;1;4.29;2
263;0;0;1;1;2.1;0
264;0;1;0;0;3.19;0
265;0;0;1;2;4.29;2
266;0;0;1;0;4.29;2
267;0;0;1;2;3.4;0
268;0;0;0;0;4.29;35
