No;X1;X2;X3;X4;time;ket
1;12/12/1980;15/10/2020;15/10/2020;B;14552;1
2;13/05/1981;24/07/2014;24/07/2014;B;12125;1
3;11/10/2005;NA;18/11/2022;A;6247;0
4;09/01/1994;13/03/2013;13/03/2013;B;7003;1
5;19/11/1989;14/05/2012;14/05/2012;B;8212;1
6;11/08/1993;NA;18/11/2022;A;10691;0
7;24/03/1993;17/06/2015;17/06/2015;B;8120;1
8;22/09/2003;NA;18/11/2022;A;6997;0
9;13/02/2006;NA;18/11/2022;A;6122;0
10;03/05/1991;09/05/2016;09/05/2016;B;9138;1
11;20/11/1984;29/04/2014;29/04/2014;B;10752;1
12;17/01/1982;17/07/2008;17/07/2008;B;9678;1
13;01/09/1997;NA;18/11/2022;A;9209;0
14;20/10/1997;13/03/2019;13/03/2019;B;7814;1
15;02/12/1993;07/02/2018;07/02/2018;B;8833;1
16;15/03/2003;NA;18/11/2022;A;7188;0
17;18/11/1996;NA;18/11/2022;A;9496;0
18;16/10/2000;NA;18/11/2022;A;8068;0
19;04/09/1997;NA;18/11/2022;A;9206;0
20;08/07/2005;NA;18/11/2022;A;6342;0
21;14/11/1986;09/06/2022;09/06/2022;A;12991;1
22;18/05/1983;31/08/2009;31/08/2009;B;9602;1
23;09/10/1986;NA;18/11/2022;A;13189;0
24;09/07/2003;NA;18/11/2022;A;7072;0
25;27/12/1992;NA;18/11/2022;A;10918;0
26;26/04/1990;13/06/2010;13/06/2010;B;7353;1
27;31/10/1993;04/05/2022;04/05/2022;A;10412;1
28;05/10/2002;NA;18/11/2022;A;7349;0
29;05/06/1996;29/10/2022;29/10/2022;A;9642;1
30;31/08/2002;NA;18/11/2022;B;7384;0
31;28/09/2003;NA;18/11/2022;A;6991;0
32;28/12/1994;18/03/2018;18/03/2018;B;8481;1
33;15/10/1992;NA;18/11/2022;A;10991;0
34;28/09/1983;27/07/2003;27/07/2003;B;7242;1
35;16/02/2005;NA;18/11/2022;A;6484;0
36;12/01/1989;19/07/2014;19/07/2014;B;9319;1
37;03/08/1992;12/11/2019;12/11/2019;B;9962;1
38;15/11/1999;NA;18/11/2022;A;8404;0
39;13/04/1985;03/05/2011;03/05/2011;B;9516;1
40;30/04/2004;NA;18/11/2022;A;6776;0
41;28/02/1986;21/05/2015;21/05/2015;B;10674;1
42;22/08/2005;NA;18/11/2022;A;6297;0
43;02/01/1995;09/10/2017;09/10/2017;B;8316;1
44;09/05/2002;NA;18/11/2022;A;7498;0
45;30/10/2001;NA;18/11/2022;A;7689;0
46;21/03/1983;08/03/2011;08/03/2011;B;10214;1
47;19/01/2006;NA;18/11/2022;A;6147;0
48;24/03/2003;NA;18/11/2022;A;7179;0
49;02/05/1984;25/07/2021;25/07/2021;B;13598;1
50;11/06/2006;NA;18/11/2022;A;6004;0
51;24/09/1986;02/01/2010;02/01/2010;B;8501;1
52;30/04/1984;15/10/2008;15/10/2008;B;8934;1
53;27/05/1986;22/02/2020;22/02/2020;B;12324;1
54;05/12/1986;21/05/2015;21/05/2015;B;10394;1
55;15/02/1992;04/05/2011;04/05/2011;B;7018;1
56;21/10/1983;07/10/2021;07/10/2021;B;13866;1
57;20/04/1983;21/04/2009;21/04/2009;B;9498;1
58;07/04/2005;NA;18/11/2022;B;6434;0
